ID,CreatedAt,Text,Retweets,Likes
1979851273546699123,2025-10-19 10:05:02+00:00,"Upgrade your home with Hisense! 💫
The Amazon Sale is LIVE — grab amazing deals on Hisense TV and Hisense AC today.
@Hisense_IND #HisenseIndia https://t.co/ysmOrt8nTk",0,0
1979851265283961136,2025-10-19 10:05:00+00:00,"Your dream Hisense TV or AC is just a click away! 🛍️
Amazon Sale is LIVE — shop Global No.1 quality today.
➡️ https://t.co/EYXDhwc9gJ
@Hisense_IND #HisenseIndia",0,0
1979851254571708479,2025-10-19 10:04:57+00:00,"Smarter TV, cooler AC, happier home! 😎
The Hisense Amazon Sale is LIVE — upgrade your lifestyle today.
@Hisense_IND #HisenseIndia https://t.co/qWOcp1aYj5",0,0
1979851239010828524,2025-10-19 10:04:53+00:00,Cool summers and stunning visuals await! Shop the Hisense Amazon Sale now for unbeatable prices on Hisense TV and Hisense AC: https://t.co/1wjFql6CtZ #HisenseIndia https://t.co/f8ZF9PzLdY,0,0
1979851215677821283,2025-10-19 10:04:48+00:00,"Big savings, bigger celebrations! 🎉
The Hisense Amazon Sale is LIVE — grab your favorite Hisense TV or Hisense AC now and enjoy Global No.1 quality at unbeatable prices.
Shop here 👉 https://t.co/FoaR4gBB1A @Hisense_IND #HisenseIndia https://t.co/vljfIwnPET",0,0
1979851212850876512,2025-10-19 10:04:47+00:00,"It’s time to upgrade to excellence! ⚡
The Hisense Amazon Sale is Live — your chance to own premium Hisense TVs &amp; ACs for less.
Shop fast: https://t.co/eVLyy80mkf

#HisenseIndia @Hisense_IND",0,0
1979851212452512217,2025-10-19 10:04:47+00:00,The Hisense Amazon Sale is here — grab top deals on TVs and ACs. Perfect time to upgrade your home. @Hisense_IND #HisenseIndia https://t.co/pDs1Eg8O0N,0,0
1979851209252155860,2025-10-19 10:04:46+00:00,"Stylish homes start with smart choices 💫
Upgrade with Hisense TV &amp; AC during the LIVE Amazon Sale.
Grab yours now: https://t.co/qMGDbC76OJ
#HisenseIndia @Hisense_IND",0,0
1979851198367961505,2025-10-19 10:04:44+00:00,Save big on Hisense TVs and ACs during the Amazon sale. Global No.1 quality at affordable prices now. @Hisense_IND #HisenseIndia https://t.co/GYvd5laqNq,0,0
1979851179552375143,2025-10-19 10:04:39+00:00,Hisense India Amazon Sale live — find top deals on TVs and ACs. Shop now for limited-time discounts. @Hisense_IND #HisenseIndia https://t.co/5b92NcBVDA,0,0
1979851170777882961,2025-10-19 10:04:37+00:00,"Huge savings await! Join the Global No.1 celebration with the live Hisense Amazon Sale.
#HisenseIndia.",0,0
1979851159763558821,2025-10-19 10:04:35+00:00,"Beat the heat with style  
Hisense ACs are powerful and efficient  
The Amazon Sale is Live now  
Shop with #HisenseIndia
https://t.co/oW4ma2nvY2",0,0
1979851141447078247,2025-10-19 10:04:30+00:00,"Turn your living room into a cinema  
Hisense Smart TVs deliver perfection  
Amazon Sale has the best offers  
Enjoy with #HisenseIndia
https://t.co/xSonjRA1Oz",0,0
1979851113076756782,2025-10-19 10:04:23+00:00,"Bright visuals, cool comfort — Hisense TV and Hisense AC bring both! The Amazon Sale is Live, shop smart now. https://t.co/U0P7kqZY1r @Hisense_IND #HisenseIndia
https://t.co/ixqKH90hwq",0,0
1979851111109656818,2025-10-19 10:04:23+00:00,Step into the world of Global No.1 technology! Hisense Amazon Sale is Live with amazing deals on Hisense TV and Hisense AC. Upgrade your home today: https://t.co/vtLQDG7y8P @Hisense_IND #HisenseIndia,0,0
1979851109532610928,2025-10-19 10:04:23+00:00,"the Global No.1 brand — brings unbeatable deals on TVs and ACs.
Shop the Amazon Sale NOW ➡️ https://t.co/l1jVmmBLDZ  #HisenseIndia",0,0
